mobiles,ratings,reviews,prices
"POCO M2 Pro (Two Shades of Black, 64 GB)",4.5,"16,922 Ratings & 1,954 Reviews","₹14,999"
"Realme C11 (Rich Grey, 32 GB)",4.4,"74,066 Ratings & 5,241 Reviews","₹7,499"
"Realme C11 (Rich Green, 32 GB)",4.4,"74,066 Ratings & 5,241 Reviews","₹7,499"
"POCO M2 Pro (Green and Greener, 64 GB)",4.5,"16,922 Ratings & 1,954 Reviews","₹14,999"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.5,"16,922 Ratings & 1,954 Reviews","₹14,999"
"Infinix Hot 9 Pro (Violet, 64 GB)",4.5,"23,928 Ratings & 1,840 Reviews","₹10,499"
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)",4.5,"23,928 Ratings & 1,840 Reviews","₹10,499"
"Infinix Smart 4 Plus (Midnight Black, 32 GB)",4.4,"20,286 Ratings & 1,865 Reviews","₹7,999"
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)",4.4,"20,286 Ratings & 1,865 Reviews","₹7,999"
"Infinix Smart 4 Plus (Violet, 32 GB)",4.4,"20,286 Ratings & 1,865 Reviews","₹7,999"
"Redmi 8 (Onyx Black, 64 GB)",4.4,"7,57,465 Ratings & 55,779 Reviews","₹9,999"
"OPPO A9 2020 (Space Purple, 128 GB)",4.3,"46,539 Ratings & 4,306 Reviews","₹12,990"
"OPPO A9 2020 (Vanilla Mint, 128 GB)",4.3,"46,539 Ratings & 4,306 Reviews","₹12,990"
"Realme 6 (Comet Blue, 64 GB)",4.4,"44,721 Ratings & 4,509 Reviews","₹15,999"
"POCO X2 (Atlantis Blue, 128 GB)",4.5,"1,61,745 Ratings & 17,993 Reviews","₹18,499"
"OPPO A5s (Blue, 32 GB)",4.3,"11,012 Ratings & 834 Reviews","₹7,990"
"POCO M2 Pro (Out of the Blue, 64 GB)",4.5,"5,458 Ratings & 604 Reviews","₹13,999"
"Realme C3 (Volcano Grey, 32 GB)",4.4,"75,985 Ratings & 5,778 Reviews","₹8,999"
"Realme 6 Pro (Lightning Blue, 128 GB)",4.4,"17,962 Ratings & 2,110 Reviews","₹19,999"
"OPPO A5s (Green, 64 GB)",4.3,"8,973 Ratings & 635 Reviews","₹9,990"
"OPPO A9 2020 (Marine Green, 128 GB)",4.3,"19,502 Ratings & 1,732 Reviews","₹14,990"
"Realme 6 (Comet White, 64 GB)",4.4,"44,721 Ratings & 4,509 Reviews","₹15,999"
"Infinix Hot 9 (Ocean Wave, 64 GB)",4.5,"37,091 Ratings & 2,397 Reviews","₹9,499"
"Infinix Hot 9 (Violet, 64 GB)",4.5,"37,091 Ratings & 2,397 Reviews","₹9,499"
